CID-10|Desc. CID-10
K121|Outras formas de estomatite
M478|Outras espondiloses
N338|Transtornos da bexiga em outras doenças classificadas em outra parte
O329|Assistência prestada à mãe por apresentação anormal do feto, não especificada
P509|Perda sangüínea fetal não especificada
R001|Bradicardia não especificada
R042|Hemoptise
T020|Fraturas envolvendo cabeça com pescoço
C248|Neoplasia maligna das vias biliares com lesão invasiva
C342|Neoplasia maligna do lobo médio, brônquio ou pulmão
C412|Neoplasia maligna da coluna vertebral
C637|Neoplasia maligna de outros órgãos genitais masculinos especificados
D377|Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos
D441|Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal)
D692|Outras púrpuras não-trombocitopênicas
I713|Aneurisma da aorta abdominal, roto
J950|Mau funcionamento de traqueostomia
K052|Periodontite aguda
K071|Anomalias da relação entre a mandíbula com a base do crânio
K450|Outras hérnias abdominais especificadas, com obstrução, sem gangrena
O322|Assistência prestada à mãe por posição fetal transversa e oblíqua
P082|Recém-nascido pós-termo, não-grande para a idade gestacional
Q431|Doença de Hirschsprung
S131|Luxação de vértebra cervical
C211|Neoplasia maligna do canal anal
C384|Neoplasia maligna da pleura
D728|Outros transtornos especificados dos glóbulos brancos
F203|Esquizofrenia indiferenciada
F39|Transtorno do humor [afetivo] não especificado
I738|Outras doenças vasculares periféricas especificadas
J152|Pneumonia devida a Staphylococcus
S151|Traumatismo da artéria vertebral
A048|Outras infecções bacterianas intestinais especificadas
F318|Outros transtornos afetivos bipolares
F449|Transtorno dissociativo [de conversão] não especificado
I881|Linfadenite crônica, exceto a mesentérica
K601|Fissura anal crônica
L931|Lúpus eritematoso cutâneo subagudo
M510|Transtornos de discos lombares e de outros discos intervertebrais com mielopatia
N946|Dismenorréia não especificada
Q391|Atresia de esôfago, com fístula traqueoesofágica
S568|Traumatismo de outros músculos e tendões e dos não especificados ao nível do antebraço
E042|Bócio não-tóxico multinodular
N029|Hematúria recidivante e persistente - não especificada
N058|Síndrome nefrítica não especificada - outras
N499|Transtorno inflamatório de órgão genital masculino, não especificado
N898|Outros transtornos não-inflamatórios especificados da vagina
Q171|Macrotia
S302|Contusão dos órgãos genitais externos
T742|Abuso sexual
C179|Neoplasia maligna do intestino delgado, não especificado
E701|Outras hiperfenilalaninemias
H609|Otite externa não especificada
J320|Sinusite maxilar crônica
K558|Outros transtornos vasculares do intestino
N393|"Incontinência de tensão (""stress"")"
O218|Outras formas de vômitos complicando a gravidez
Q423|Ausência, atresia e estenose congênita do ânus, sem fístula
S273|Outros traumatismos do pulmão
B028|Herpes zoster com outras complicações
D397|Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos
D66|Deficiência hereditária do fator VIII
F238|Outros transtornos psicóticos agudos e transitórios
G810|Hemiplegia flácida
H440|Endoftalmite purulenta
I069|Doença reumática da valva aórtica, não especificada
I719|Aneurisma aórtico de localização não especificada, sem menção de ruptura
I745|Embolia e trombose da artéria ilíaca
K279|Úlcera péptica de localização não especificada - não especificada como aguda ou crônica, sem hemorragia ou perfuração
K738|Outras hepatites crônicas não classificada em outra parte
K758|Outras doenças hepáticas inflamatórias especificadas
M000|Artrite e pioliartrite estafilocócicas
M662|Ruptura espontânea de tendões extensores
N360|Fístula uretral
Q379|Fenda do palato com fenda labial unilateral, não especificada
S634|Ruptura traumática do ligamento do dedo nas articulações metacarpofalangianas e interfalangianas
C183|Neoplasia maligna da flexura (ângulo) hepática(o)
C222|Hepatoblastoma
H261|Catarata traumática
K611|Abscesso retal
P390|Mastite infecciosa neonatal
A519|Sífilis precoce não especificada
C178|Neoplasia maligna do intestino delgado com lesão invasiva
D126|Neoplasia benigna do cólon, não especificada
I454|Bloqueio intraventricular não específico
P379|Doença infecciosa ou parasitária congênita não especificada
Q351|Fenda do palato duro
S028|Outras fraturas do crânio e dos ossos da face
C241|Neoplasia maligna da ampola de Vater
C785|Neoplasia maligna secundária do intestino grosso e do reto
D380|Neoplasia de comportamento incerto ou desconhecido da laringe
F720|Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento
H444|Hipotonia do olho
K571|Doença diverticular do intestino delgado sem perfuração ou abscesso
K623|Prolapso retal
N008|Síndrome nefrítica aguda - outras
N139|Uropatia obstrutiva e por refluxo não especificada
R000|Taquicardia não especificada
E078|Outros transtornos especificados da tireóide
E142|Diabetes mellitus não especificado - com complicações renais
F919|Transtorno de conduta não especificado
I408|Outras miocardites agudas
J121|Pneumonia devida a vírus respiratório sincicial
K277|Úlcera péptica de localização não especificada - crônica sem hemorragia ou perfuração
L949|Afecções localizadas do tecido conjuntivo, não especificadas
P741|Desidratação do recém-nascido
P948|Outros transtornos do tônus muscular do recém-nascido
S830|Luxação da rótula [patela]
T065|Traumatismos de órgãos intratorácicos com órgãos intra-abdominais e pélvicos
C410|Neoplasia maligna dos ossos do crânio e da face
C793|Neoplasia maligna secundária do encéfalo e das meninges cerebrais
E139|Outros tipos especificados de diabetes mellitus - sem complicações
J324|Pansinusite crônica
K253|Úlcera gástrica - aguda sem hemorragia ou perfuração
K522|Gastroenterite e colite alérgicas ou ligadas à dieta
L259|Dermatite de contato não especificada, de causa não especificada
M258|Outros transtornos articulares especificados
N137|Uropatia associada a refluxo vésico-ureteral
Q790|Hérnia diafragmática congênita
Q821|Xeroderma pigmentoso
S862|Traumatismo do(s) músculo(s) e tendão(ões) do grupo muscular anterior ao nível da perna
T181|Corpo estranho no esôfago
T848|Outras complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos
T902|Seqüelas de fratura de crânio e de ossos da face
Z349|Supervisão de gravidez normal, não especificada
B203|Doença pelo HIV resultando em outras infecções virais
D057|Outros carcinomas in situ
I029|Coréia reumática sem comprometimento cardíaco
I616|Hemorragia intracerebral de múltiplas localizações
K518|Outras colites ulcerativas
O902|Hematoma da incisão obstétrica
Q234|Síndrome do coração esquerdo hipoplásico
S323|Fratura do ílio
T925|Seqüelas de traumatismo de músculo e tendão do membro superior
D233|Neoplasia benigna da pele de outras partes e de partes não especificadas da face
D375|Neoplasia de comportamento incerto ou desconhecido do reto
H709|Mastoidite não especificada
K100|Transtornos do desenvolvimento dos maxilares
K661|Hemoperitônio
N039|Síndrome nefrítica crônica - não especificada
T817|Complicações vasculares subseqüentes a um procedimento não classificado em outra parte
C049|Neoplasia maligna do assoalho da boca, não especificado
D519|Anemia por deficiência de vitamina B12 não especificada
D618|Outras anemias aplásticas especificadas
H438|Outros transtornos do humor vítreo
I899|Transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos, não especificados
N340|Abscesso uretral
O720|Hemorragia do terceiro estágio
P159|Traumatismo de parto não especificado
S080|Avulsão do couro cabeludo
S199|Traumatismo não especificado do pescoço
S421|Fratura da omoplata [escápula]
S978|Lesão por esmagamento de outras partes do tornozelo e do pé
C967|Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos
D580|Esferocitose hereditária
D610|Anemia aplástica constitucional
G120|Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman]
G912|Hidrocefalia de pressão normal
K238|Transtornos do esôfago em outras doenças classificadas em outra parte
M068|Outras artrites reumatóides especificadas
P363|Septicemia do recém-nascido devida a outros estafilococos e aos não especificados
S325|Fratura do púbis
T025|Fraturas envolvendo regiões múltiplas de ambos os membros inferiores
A630|Verrugas anogenitais (venéreas)
G309|Doença de Alzheimer não especificada
H029|Transtorno não especificado da pálpebra
J961|Insuficiência respiratória crônica
O991|Outras doenças do sangue e dos órgãos hematopoéticos e alguns transtornos que comprometem o sistema imunológico, complicando a gravidez, o parto e o puerpério
R300|Disúria
S327|Fraturas múltiplas de coluna lombar e da pelve
S380|Lesão por esmagamento dos órgãos genitais externos
T312|Queimaduras envolvendo de 20 - 29% da superfície corporal
T885|Outras complicações de anestesia
C782|Neoplasia maligna secundária da pleura
D170|Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço
E762|Outras mucopolissacaridoses
F231|Transtorno psicótico agudo polimorfo, com sintomas esquizofrênicos
F701|Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
J154|Pneumonia devida a outros estreptococos
K621|Pólipo retal
K862|Cisto do pâncreas
M059|Artrite reumatóide soro-positiva não especificada
N645|Outros sintomas e sinais da mama
S670|Lesão por esmagamento do polegar e de outro(s) dedo(s)
S688|Amputação traumática de outras partes do punho e da mão
Z116|Exame especial de rastreamento de outras doenças por protozoários e por helmintos
B088|Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
B259|Doença não especificada por citomegalovírus
C675|Neoplasia maligna do colo da bexiga
I080|Transtornos de valvas mitral e aórtica
N920|Menstruação excessiva e freqüente com ciclo regular
O089|Complicações conseqüentes a aborto e gravidez ectópica e molar, não especificadas
R230|Cianose
S933|Luxação de outras partes e das não especificadas do pé
T232|Queimadura de segundo grau do punho e da mão
Z763|Pessoa em boa saúde acompanhando pessoa doente
C52|Neoplasia maligna da vagina
E441|Desnutrição protéico-calórica leve
I409|Miocardite aguda não especificada
J170|Pneumonia em doenças bacterianas classificadas em outra parte
K567|Íleo, não especificado
M029|Artropatia reacional não especificada
M064|Poliartropatia inflamatória
M864|Osteomielite crônica com seio drenante
N492|Transtorno inflamatório do escroto
N895|Estreitamento e atresia da vagina
O331|Assistência prestada à mãe por uma desproporção devida à contração geral da pelve
R092|Parada respiratória
T024|Fraturas envolvendo regiões múltiplas de ambos os membros superiores
T952|Seqüelas de queimadura, corrosão e geladura do membro superior
B552|Leishmaniose cutâneo-mucosa
B559|Leishmaniose não especificada
I309|Pericardite aguda não especificada
J323|Sinusite esfenoidal crônica
M179|Gonartrose não especificada
N839|Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo, não especificados
P819|Distúrbio não especificado da regulação térmica do recém-nascido
A590|Tricomoníase urogenital
C929|Leucemia mielóide, não especificada
H020|Entrópio e triquíase da pálpebra
I731|Tromboangeíte obliterante [doença de Buerger]
K914|Mau funcionamento de colostomia e enterostomia
N730|Parametrite e celulite pélvicas agudas
O330|Assistência prestada à mãe por uma desproporção devida à deformidade da pelve óssea materna
Q501|Cisto ovariano de desenvolvimento
R17|Icterícia não especificada
D479|Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada
G935|Compressão do encéfalo
H159|Transtorno não especificado da esclerótica
I410|Miocardite em doenças bacterianas classificadas em outra parte
I678|Outras doenças cerebrovasculares especificadas
N733|Pelviperitonite aguda feminina
Q150|Glaucoma congênito
S359|Traumatismo de vaso sangüíneo não especificado ao nível do abdome, do dorso e da pelve
Z523|Doador de medula óssea
C740|Neoplasia maligna do córtex da supra-renal
D043|Carcinoma in situ da pele de outras partes e de partes não especificadas da face
D360|Neoplasia benigna dos gânglios linfáticos (linfonodos)
D383|Neoplasia de comportamento incerto ou desconhecido do mediastino
E875|Hiperpotassemia
G311|Degeneração cerebral senil, não classificadas em outra parte
H599|Transtorno não especificado do olho e anexos pós-procedimento
J384|Edema da laringe
M509|Transtorno não especificado de disco cervical
M960|Pseudo-artrose após fusão ou artrodese
N320|Obstrução do colo da bexiga
S202|Contusão do tórax
C437|Melanoma maligno do membro inferior, incluindo quadril
D683|Transtorno hemorrágico devido a anticoagulantes circulantes
F125|Transtornos mentais e comportamentais devidos ao uso de canabinóides - transtorno psicótico
F410|Transtorno de pânico [ansiedade paroxística episódica]
G500|Nevralgia do trigêmeo
J840|Afecções alveolares e parieto-alveolares
J952|Insuficiência pulmonar aguda subsequente a cirurgia não torácica
K669|Afecções do peritônio, sem outra especificação
M679|Transtorno não especificado da sinóvia e do tendão
N701|Salpingite e ooforite crônicas
O152|Eclâmpsia no puerpério
O861|Outras infecções dos órgãos genitais subseqüentes ao parto
Q218|Outras malformações congênitas dos septos cardíacos
S023|Fratura do assoalho orbital
T016|Ferimentos envolvendo regiões múltiplas do(s) membro(s) superior(es) com membro(s) inferior(es)
T189|Corpo estranho em parte não especificada do aparelho digestivo
A500|Sífilis congênita precoce sintomática
C139|Neoplasia maligna da hipofaringe, não especificada
C762|Neoplasia maligna do abdome
D210|Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço
D691|Defeitos qualitativos das plaquetas
E162|Hipoglicemia não especificada
E740|Doença de depósito de glicogênio
F064|Transtornos da ansiedade orgânicos
F162|Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome de dependência
G629|Polineuropatia não especificada
J410|Bronquite crônica simples
M311|Microangiopatia trombótica
O682|Trabalho de parto e parto complicados por anormalidade na freqüência cardíaca fetal com mecônio no líquido amniótico
S611|Ferimento de dedo(s) com lesão da unha
A483|Síndrome do choque tóxico
B082|Exantema súbito [sexta doença]
C414|Neoplasia maligna dos ossos da pelve, sacro e cóccix
E049|Bócio não-tóxico, não especificado
M659|Sinovite e tenossinovite não especificadas
S321|Fratura do sacro
B369|Micose superficial não especificada
C252|Neoplasia maligna da cauda do pâncreas
C300|Neoplasia maligna da cavidade nasal
C435|Melanoma maligno do tronco
F331|Transtorno depressivo recorrente, episódio atual moderado
G92|Encefalopatia tóxica
H052|Afecções exoftálmicas
J157|Pneumonia devida a Mycoplasma pneumoniae
K501|Doença de Crohn do intestino grosso
K521|Gastroenterite e colite tóxicas
M200|Deformidade(s) do(s) dedo(s) das mãos
N820|Fístula vesicovaginal
O060|Aborto não especificado - incompleto, complicado por infecção do trato genital ou dos órgãos pélvicos
S837|Traumatismo de estruturas múltiplas do joelho
S968|Traumatismo de outros tendões e músculos ao nível do tornozelo e do pé
T638|Efeito tóxico de contato com outros animais venenosos
T784|Alergia não especificada
F339|Transtorno depressivo recorrente sem especificação
F412|Transtorno misto ansioso e depressivo
H181|Ceratopatia bolhosa
I351|Insuficiência (da valva) aórtica
I499|Arritmia cardíaca não especificada
K254|Úlcera gástrica - crônica ou não especificada com hemorragia
L102|Pênfigo foliáceo
M546|Dor na coluna torácica
S071|Lesão por esmagamento do crânio
T093|Traumatismo de medula espinhal, nível não especificado
T185|Corpo estranho no ânus e reto
I060|Estenose aórtica reumática
I220|Infarto do miocárdio recorrente da parede anterior
I700|Aterosclerose da aorta
K263|Úlcera duodenal - aguda sem hemorragia ou perfuração
K559|Transtorno vascular do intestino, sem outra especificação
M844|Fratura patológica não classificada em outra parte
M930|Luxação (não-traumática) da epífise superior do fêmur
O101|Doença cardíaca hipertensiva pré-existente complicando a gravidez, o parto e o puerpério
O268|Outras afecções especificadas, ligadas a gravidez
O645|Obstrução do trabalho de parto devida à apresentação complexa
O690|Trabalho de parto e parto complicados por prolapso do cordão
T950|Seqüelas de queimadura, corrosão e geladura da cabeça e pescoço
A403|Septicemia por Streptococcus pneumonia
D051|Carcinoma intraductal in situ
G710|Distrofia muscular
G932|Hipertensão intracraniana benigna
H830|Labirintite
I150|Hipertensão renovascular
K223|Perfuração do esôfago
L308|Outras dermatites especificadas
M236|Outras rupturas espontâneas de ligamento(s) do joelho
N088|Transtornos glomerulares em outras doenças classificadas em outra parte
N12|Nefrite túbulo-intersticial não especificada se aguda ou crônica
O364|Assistência prestada à mãe por morte intra-uterina
P251|Pneumotórax originado no período perinatal
S121|Fratura da segunda vértebra cervical
S198|Outros traumatismos especificados do pescoço
S869|Traumatismo de músculo e de tendão não especificado ao nível da perna
C153|Neoplasia maligna do terço superior do esôfago
C413|Neoplasia maligna das costelas, esterno e clavícula
C820|Linfoma não-Hodgkin, pequenas células clivadas, folicular
D128|Neoplasia benigna do reto
F191|Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - uso nocivo para a saúde
K440|Hérnia diafragmática com obstrução, sem gangrena
M138|Outras artrites especificadas
M161|Outras coxartroses primárias
M621|Outras rupturas musculares (não-traumáticas)
N319|Disfunção neuromuscular não especificada da bexiga
O997|Doenças da pele e do tecido subcutâneo complicando a gravidez, o parto e o puerpério
Q246|Bloqueio congênito do coração
S059|Traumatismo do olho e da órbita, não especificado
S633|Ruptura traumática de ligamento(s) do punho e do carpo
A311|Infecção cutânea micobacteriana
C768|Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva
C845|Outros linfomas de células T e os não especificados
G407|Pequeno mal não especificado, sem crises de grande mal
I249|Doença isquêmica aguda do coração não especificada
I370|Estenose da valva pulmonar
I844|Hemorróidas externas com outras complicações
J391|Outros abscessos da faringe
K221|Úlcera do esôfago
K269|Úlcera duodenal - não especificada como aguda ou crônica, sem hemorragia ou perfuração
K458|Outras hérnias abdominais especificadas, sem obstrução ou gangrena
M240|Corpo flutuante em articulação
M664|Ruptura espontânea de outros tendões
M868|Outra osteomielite
N835|Torção do ovário, do pedículo ovariano e da trompa de Falópio
O345|Assistência prestada à mãe por outras anormalidades do útero gravídico
O713|Laceração obstétrica do colo do útero
P293|Persistência da circulação fetal
R599|Adenomegalia ou aumento de volume dos gânglios linfáticos, não especificado
S021|Fratura da base do crânio
S110|Ferimento envolvendo a laringe e a traquéia
T426|Intoxicação por outras drogas antiepilépticas e sedativos-hipnóticos
T439|Intoxicação por droga psicotrópica não especificada
T953|Seqüelas de queimadura, corrosão e geladura do membro inferior
Z527|Doador de coração
A89|Infecções virais não especificadas do sistema nervoso central
C482|Neoplasia maligna do peritônio
C495|Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve
D179|Neoplasia lipomatosa benigna de localização não especificada
D729|Transtornos não especificados dos glóbulos brancos
E249|Síndrome de Cushing não especificada
F349|Transtorno do humor [afetivo] persistente não especificado
H045|Estenose e insuficiência dos canais lacrimais
H260|Catarata infantil, juvenil e pré-senil
H279|Transtorno não especificado do cristalino
I691|Seqüelas de hemorragia intracerebral
K508|Outra forma de doença de Crohn
N609|Displasia mamária benigna não especificada
N719|Doença inflamatória não especificada do útero
C441|Neoplasia maligna da pele da pálpebra, incluindo o canto
C713|Neoplasia maligna do lobo parietal
G540|Transtornos do plexo braquial
G709|Transtorno mioneural não especificado
I254|Aneurisma de artéria coronária
I426|Cardiomiopatia alcoólica
I634|Infarto cerebral devido a embolia de artérias cerebrais
J949|Afecção pleural não especificada
J951|Insuficiência pulmonar aguda subsequente a cirurgia torácica
K700|Fígado gorduroso alcoólico
N164|Transtornos renais túbulo-intersticiais em doenças do tecido conjuntivo
P835|Hidrocele congênita
Q360|Fenda labial bilateral
S127|Fraturas múltiplas da coluna cervical
T440|Intoxicação por agentes anticolinesterase
Z340|Supervisão de primeira gravidez normal
C602|Neoplasia maligna do corpo do pênis
F791|Retardo mental não especificado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
I709|Aterosclerose generalizada e a não especificada
I744|Embolia e trombose de artérias dos membros não especificadas
K271|Úlcera péptica de localização não especificada - aguda com perfuração
K413|Hérnia femoral unilateral ou não especificada, com obstrução, sem gangrena
K635|Pólipo do cólon
N281|Cisto do rim, adquirido
O223|Flebotrombose profunda na gravidez
P619|Transtorno hematológico perinatal não especificado
Q650|Luxação congênita unilateral do quadril
Q668|Outras deformidades congênitas do pé
S019|Ferimento na cabeça, parte não especificada
T849|Complicação não especificada de dispositivo protético, implante e enxerto ortopédicos internos
B64|Doença não especificada devida a protozoários
C020|Neoplasia maligna da face dorsal da língua
C148|Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva
C251|Neoplasia maligna do corpo do pâncreas
C447|Neoplasia maligna da pele do membro inferior, incluindo quadril
C542|Neoplasia maligna do miométrio
D152|Neoplasia benigna do mediastino
D613|Anemia aplástica idiopática
D698|Outras afecções hemorrágicas especificadas
E125|Diabetes mellitus relacionado com a desnutrição - com complicações circulatórias periféricas
G301|Doença de Alzheimer de início tardio
N002|Síndrome nefrítica aguda - glomerulonefrite membranosa difusa
Q059|Espinha bífida não especificada
Q627|Refluxo vésico-uretero-renal congênito
R224|Tumefação, massa ou tumoração localizadas no membro inferior
S551|Traumatismo da artéria radial ao nível do antebraço
T492|Intoxicação por adstringentes e detergentes de uso local
T935|Seqüelas de traumatismo de músculo e tendão do membro inferior
A01|Febres tifóide e paratifóide
C446|Neoplasia maligna da pele do membro superior, incluindo ombro
D212|Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril
F400|Agorafobia
F911|Distúrbio de conduta não-socializado
H433|Outras opacidades do vítreo
H611|Transtornos não-infecciosos do pavilhão da orelha
K090|Cistos odontogênicos de desenvolvimento
K380|Hiperplasia do apêndice
L509|Urticária não especificada
N341|Uretrites não específicas
Q899|Malformações congênitas não especificadas
S203|Outros traumatismos superficiais da parede anterior do tórax
T252|Queimadura de segundo grau do tornozelo e do pé
T858|Outras complicações de dispositivos protéticos, implantes e enxertos internos não classificados em outra parte
B954|Outros estreptococos, como causa de doenças classificadas em outros capítulos
C166|Neoplasia maligna da grande curvatura do estômago, não especificada
C398|Neoplasia maligna do aparelho respiratório e dos órgãos intratorácicos com lesão invasiva
C491|Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro
D630|Anemia em neoplasias
F065|Transtorno dissociativo orgânico
F232|Transtorno psicótico agudo de tipo esquizofrênico (schizophrenia-like)
G052|Encefalite, mielite e encefalomielite em outras doenças infecciosas e parasitárias classificadas em outra parte
H040|Dacrioadenite
H278|Outros transtornos especificados do cristalino
I308|Outras formas de pericardite aguda
I724|Aneurisma de artéria dos membros inferiores
J156|Pneumonia devida a outras bactérias aeróbicas gram-negativas
K629|Doença do ânus e do reto, sem outra especificação
K719|Doença hepática tóxica, sem outra especificação
M028|Outras artropatias reacionais
M471|Outras espondiloses com mielopatia
N001|Síndrome nefrítica aguda - lesões glomerulares focais e segmentares
R410|Desorientação não especificada
B258|Outras doenças por citomegalovírus
C540|Neoplasia maligna do istmo do útero
E870|Hiperosmolaridade e hipernatremia
G439|Enxaqueca, sem especificação
J386|Estenose da laringe
K261|Úlcera duodenal - aguda com perfuração
K295|Gastrite crônica, sem outra especificação
K712|Doença hepática tóxica com hepatite aguda
N136|Pionefrose
O032|Aborto espontâneo - incompleto, complicado por embolia
O035|Aborto espontâneo - completo ou não especificado, complicado por infecções do trato genital ou dos órgãos pélvicos
O863|Outras infecções das vias genitourinárias subseqüentes ao parto
P271|Displasia broncopulmonar originada no período perinatal
Q170|Pavilhão supranumerário
Q623|Outras anomalias obstrutivas da pelve renal e do ureter
T633|Efeito tóxico do veneno de aranha
A64|Doenças sexualmente transmitidas, não especificadas
C185|Neoplasia maligna da flexura (ângulo) esplênica(o)
D372|Neoplasia de comportamento incerto ou desconhecido do intestino delgado
D739|Doença não especificada do baço
E079|Transtorno não especificado da tireóide
G501|Dor facial atípica
I632|Infarto cerebral devido a oclusão ou estenose não especificadas de artérias pré-cerebrais
K092|Outros cistos das mandíbulas
M259|Transtorno articular não especificado
N410|Prostatite aguda
O756|Demora do parto após ruptura espontânea ou não especificada das membranas
Q070|Síndrome de Arnold-Chiari
S678|Lesão por esmagamento de outras partes e das não especificadas do punho e da mão
T875|Necrose do coto da amputação
A080|Enterite por rotavírus
B575|Doença de Chagas (crônica) com comprometimento de outros órgãos
C164|Neoplasia maligna do piloro
C496|Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco
C827|Outros tipos de linfoma não-Hodgkin, folicular
D411|Neoplasia de comportamento incerto ou desconhecido da pelve renal
F070|Transtorno orgânico da personalidade
F28|Outros transtornos psicóticos não-orgânicos
I012|Miocardite reumática aguda
I318|Outras doenças especificadas do pericárdio
K744|Cirrose biliar secundária
M791|Mialgia
N165|Transtornos renais túbulo-intersticiais em rejeição a transplantes
O629|Anormalidades da contração uterina, não especificadas
Q548|Outras hipospádias
S850|Traumatismo da artéria poplítea
T202|Queimadura de segundo grau da cabeça e do pescoço
T242|Queimadura de segundo grau do quadril e do membro inferior, exceto tornozelo e do pé
A300|Hanseníase [lepra] indeterminada
B008|Outras formas de infecção devida ao vírus do herpes
B230|Síndrome de infecção aguda pelo HIV
C411|Neoplasia maligna da mandíbula
C518|Neoplasia maligna da vulva com lesão invasiva
C577|Neoplasia maligna de outras partes especificadas dos órgãos genitais femininos
C767|Neoplasia maligna de outras localizações mal definidas
D589|Anemia hemolítica hereditária não especificada
D731|Hiperesplenismo
E114|Diabetes mellitus não-insulino-dependente - com complicações neurológicas
E230|Hipopituitarismo
F721|Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento
G410|Estado de grande mal epiléptico
G619|Polineuropatia inflamatória não especificada
K070|Anomalias importantes (major) do tamanho da mandíbula
K908|Outras formas de má-absorção intestinal
Q289|Malformação congênita não especificada do aparelho circulatório
S013|Ferimento do ouvido
T430|Intoxicação por antidepressivos tricíclicos e tetracíclicos
C138|Neoplasia maligna da hipofaringe com lesão invasiva
C440|Neoplasia maligna da pele do lábio
F420|Transtorno obsessivo-compulsivo com predominância de idéias ou de ruminações obsessivas
H110|Pterígio
J153|Pneumonia devida a Streptococcus do grupo B
K622|Prolapso anal
K624|Estenose do ânus e do reto
L88|Piodermite gangrenosa
M244|Deslocamento e subluxação de articulação recidivantes
N322|Fístula vesical não classificada em outra parte
N908|Outros transtornos não-inflamatórios especificados da vulva e do períneo
O308|Outras gestações múltiplas
O981|Sífilis complicando a gravidez, o parto e o puerpério
P712|Hipomagnesemia neonatal
Q660|Pé torto eqüinovaro
Q758|Outras malformações congênitas especificadas dos ossos do crânio e da face
C715|Neoplasia maligna do ventrículo cerebral
C750|Neoplasia maligna da glândula paratireóide
D464|Anemia refratária, não especificada
E210|Hiperparatireoidismo primário
G450|Síndrome da artéria vértebro-basilar
H059|Transtorno não especificado da órbita
I061|Insuficiência aórtica reumática
I429|Cardiomiopatia não especificada
I959|Hipotensão não especificada
J010|Sinusite maxilar aguda
J111|Influenza [gripe] com outras manifestações respiratórias, devida a vírus não identificado
K620|Pólipo anal
M100|Gota idiopática
N509|Transtorno não especificado dos órgãos genitais masculinos
O323|Assistência prestada à mãe por apresentação de face, mento e fronte
P284|Outras apnéias do recém-nascido
P291|Disritmia cardíaca neonatal
Q209|Malformação congênita não especificada das câmaras e das comunicações cardíacas
Q288|Outras malformações congênitas especificadas do aparelho circulatório
Q355|Fenda do palato duro com fenda do palato mole
R58|Hemorragia não classificada em outra parte
T311|Queimaduras envolvendo de 10 - 19% da superfície corporal
Z019|Exame especial não especificado
Z538|Procedimento não realizado por outras razões
A392|Meningococcemia aguda
B001|Dermatite vesicular devido ao vírus do herpes
C152|Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal)
C601|Neoplasia maligna da glande
C917|Outras leucemias linfóides
C947|Outras leucemias especificadas
D609|Aplasia pura adquirida, não especificada, da série vermelha
E161|Outra hipoglicemia
H048|Outros transtornos do aparelho lacrimal
I221|Infarto do miocárdio recorrente da parede inferior
I800|Flebite e tromboflebite dos vasos superficiais dos membros inferiores
M253|Outras instabilidades articulares
N735|Pelviperitonite não especificada feminina
N994|Aderências do peritônio pélvico pós-procedimentos
O840|Parto múltiplo, todos espontâneos
O864|Febre de origem desconhecida subseqüente ao parto
O922|Outras afecções da mama, e as não especificadas, associadas ao parto
Q052|Espinha bífida lombar com hidrocefalia
Q204|Ventrículo com dupla via de entrada
Q504|Cisto embrionário da trompa de Falópio
R220|Tumefação, massa ou tumoração localizadas da cabeça
S067|Traumatismo intracraniano com coma prolongado
S561|Traumatismo do músculo flexor e tendão de outro(s) dedo(s) ao nível do antebraço
S618|Ferimento de outras partes do punho e da mão
T842|Complicação mecânica de dispositivo de fixação interna de outros ossos
D320|Neoplasia benigna das meninges cerebrais
D558|Outras anemias devidas a transtornos enzimáticos
E358|Transtornos de outras glândulas endócrinas em doenças classificadas em outra parte
E700|Fenilcetonúria clássica
F309|Episódio maníaco não especificado
F313|Transtorno afetivo bipolar, episódio atual depressivo leve ou moderado
I019|Doença cardíaca reumática aguda não especificada
