Código|Procedimento
407020217|Esfincterotomia Interna e Tratamento de Fissura Anal
413040240|Tratamento Cirúrgico p/ Reparacoes de Perda de Substancia da Mao
416040071|Gastrectomia Total em Oncologia
409010200|Nefrectomia Parcial
408020199|Redução Incruenta de Fratura da Diáfise do Úmero
303110066|Tratamento de Malformacoes Congenitas do Aparelho Urinario
416090133|Ressecção de Tumor de Partes Moles em Oncologia
303010070|Tratamento de Febres por Arbovírus e Febres Hemorrágicas Virais
403030153|Microcirurgia para Tumor Intracraniano (com Técnica Complementar)
505020041|Transplante de Coracao
406040060|Angioplastia Intraluminal de Vasos das Extremidades (c/ Stent não Recoberto)
408030062|Artrodese Cervical Anterior Três Niveis
408030461|Discectomia Toraco-lombo-sacra por Via Anterior (1 Nível)
408050136|Reconstrução de Tendao Patelar / Tendao Quadricipital
303090200|Tratamento Conservador de Fratura em Membro Inferior com Imobilização
406020442|Revascularização por Ponte / Tromboendarterectomia Femuro-poplitea Distal
408050039|Artrodese de Medias / Grandes Articulacoes de Membro Inferior
303040017|Ajuste Medicamentoso de Situacoes Neurologicas Agudizadas
303060247|Tratamento de Outras Vasculopatias
201010402|Biopsia de Pleura (por Aspiração/agulha / Pleuroscopia)
409070262|Tratamento Cirúrgico de Hipertrofia dos Pequenos Labios
408020156|Redução Incruenta de Fratura / Lesão Fisaria de Cotovelo
408040190|Redução Incruenta de Luxação Coxofemoral Traumática / Pós-artroplastia
403020085|Neurorrafia
404010512|Sinusotomia Transmaxilar
404020607|Redução de Fratura da Mandíbula sem Osteossintese.
412020017|Mediastinotomia Exploradora Para-esternal / por Via Anterior
403010012|Crânioplastia
303170174|"Tratamento Clínico de Transtornos Mentais e Comportamentais Devido ao Uso de Crack""."""
409010235|Nefrolitotomia Percutanea
303060123|Tratamento de Doença Reumatica s/ Cardite
505010089|Transplante Autogenico de Células-tronco Hematopoeticas de Sangue Periferico -
406010773|Pericardiocentese
406010943|Revascularização Miocardica s/ Uso de Extracorporea
409010294|Nefrostomia Percutanea
416010113|Orquiectomia Unilateral em Oncologia
408060212|Ressecção de Cisto Sinovial
408060638|Tratamento Cirúrgico de Luxação / Fratura-luxação Metatarso Inter-falangeana
304090018|Iodoterapia de Carcinoma Diferenciado da Tireóide (150 Mci)
405010010|Correção Cirúrgica de Entropio e Ectropio
407010084|Esôfagoplastia / Gastroplastia
409050040|Correção de Hipospadia (2o Tempo)
408040297|Tratamento Cirúrgico de Fratura do Acetábulo
414010329|Tratamento Cirúrgico de Cisto do Complexo Maxilo-mandibular
409020133|Uretroplastia Autogena
416060021|Anexectomia Uni / Bilateral em Oncologia
403040035|Microcirurgia para Aneurisma da Circulação Cerebral Anterior
408020016|Amputação / Desarticulação de Mão e Punho
303060085|Tratamento de Complicacoes Cardíacas Pós-cirurgia
403010047|Crâniotomia para Retirada de Cisto / Abscesso / Granuloma EnCefálico
406020434|Revascularização por Ponte / Tromboendarterectomia de Outras Artérias Distais
412050048|Lobectomia Pulmonar
303010045|Tratamento de Doenças Bacterianas Zoonóticas
404020526|Osteossintese de Fratura do Complexo Órbito-zigomático-maxilar
412030110|Pleurodese
407040021|Drenagem de Abscesso Subfrenico
407020071|Colectomia Total
409010430|Tratamento Cirúrgico de Cistocele
404010229|Mastoidectomia Subtotal
409070149|Exerese de Cisto Vaginal
404010105|Estapedectomia
303090235|Tratamento Conservador de Lesao da Coluna Toraco-lombo-sacra c/ Ortese
303180072|Tratamento de Hiv / Aids
408020571|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea do Úmero
408050454|Tratamento Cirúrgico de Fratura / Lesao Fisaria de Ossos do Medio-pe
408050683|Tratamento Cirúrgico de Luxação / Fratura-luxação ao Nível do Joelho
412050102|Ressecção em Cunha, Tumorectomia / Biopsia de Pulmao a Céu Aberto
408020563|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea do Antebraço
413040151|Transferência IntermeDiária de Retalho
403010349|Trepanacão Craniana para Propedeutica NeuroCirúrgica / Implante para Monitorizacão Pic
303100052|Tratamento de Mola Hidatiforme
406020450|Revascularização por Ponte / Tromboendarterectomia Femuro-poplitea Proximal
201010321|Biopsia de Osso / Cartilagem de Membro Inferior (por Agulha / Céu Aberto)
404020275|Ressecção de Lesão Maligna e Benigna da Região Crânio e Bucomaxilofacial
407010165|Gastroenteroanastomose
414010205|Redução Incruenta de Fratura Unilateral da Mandibula
416080030|Excisão e Sutura com Plástica em Z na Pele em Oncologia
403030064|Hipofisectomia Transesfenoidal por Técnica Complementar
408050080|Fasciotomia de Membros Inferiores
416040128|Duodenopancreatectomia em Oncologia
416120040|Ressecção de Lesao não Palpavel de Mama com Marcacão em Oncologia (por Mama)
403020050|Microneurolise de Nervo Periferico
303060050|Tratamento de Choque Anafilatico
401020150|Tratamento Cirúrgico do Sinus Pré-auricular
409010227|Nefrolitotomia
408050063|Artroplastia Total Primaria do Joelho
416060056|Histerectomia c/ Ressecção de Órgãos Contiguos em Oncologia
404020461|Osteotomia da Mandibula
408060336|Retirada de Corpo Estranho Intra-ósseo
201010534|Biopsia Estereotaxica
408020598|Tratamento Cirúrgico de Pseudartrose na Região Metafise-epifisaria Distal do Radio e Ulna
406010803|Plástica Valvar
408050713|Tratamento Cirúrgico de Luxação / Fratura-luxação Tarso-metatarsica
407040200|Peritoniostomia c/ Tela Inorganica
409040185|Reparacão e Operação Plástica do Testiculo
416110010|Lobectomia Pulmonar em Oncologia
404020208|Labioplastia para Hipertrofia do Lábio
406050023|Estudo Eletrofisiológico Terapeutico I (ablacão de Flutter Atrial)
407010335|Tratameto Cirúrgico de MegaEsôfago sem Ressecção / Conservador
408060441|Tenólise
303010100|Tratamento de Helmintíases (b65 a B83)
408020121|Realinhamento de Mecanismo Extensor dos Dedos da Mão
412030098|Pleurostomia
403010128|Microcirurgia Cerebral Endoscopica
408050560|Tratamento Cirúrgico de Fratura do Talus
407020322|Plástica Anal Externa / Esfincteroplastia Anal
303110058|Tratamento de Fenda Labial e/ou Fenda Palatina
408020024|Amputação / Desarticulação de Membros Superiores
408050195|Redução Incruenta da Luxacão / Fratura-luxacão Metatarso-falangiana / Interfalangiana do Pe
408020326|Tratamento Cirúrgico de Dedo em Gatilho
408020440|Tratamento Cirúrgico de Fratura Lesão Fisaria dos Ossos do Antebraço
408030070|Artrodese Cervical Anterior Dois Níveis
413010015|Atendimento de Urgência em Medio e Grande Queimado
403040094|Microcirurgia para Aneurisma da Circulação Cerebral Anterior Maior Que 1,5 Cm
408060328|Retirada de Corpo Estranho Intra-articular
303040220|Tratamento de Esclerose Generalizada Progressiva
406011184|Troca de Gerador e de Eletrodos de Marcapasso de Câmara Dupla
409010570|Ureteroplastia
402010027|Paratireoidectomia
409070084|Colpoplastia Anterior
404010326|Sinusotomia Bilateral
404020453|Osteotomia da Maxila
407030166|Hepatotomia e Drenagem de Abscesso / Cisto
409010286|Nefrostomia c/ ou s/ Drenagem
416080120|Extirpacão Multipla de Lesao da Pele ou Tecido Célular Subcutaneo em Oncologia
303110023|Tratamento de Anomalias Cromossomicas não Classificadas em Outra Parte
406010609|Implante de Cardioversor Desfibrilador (cdi) Multi-sitio Transvenoso
406020302|Plastia Artérial c/ Remendo (qualquer Técnica)
416030130|Tireoidectomia Total em Oncologia
407040048|Hernioplastia Diafragmatica (via Abdominal)
412040115|Retirada de Corpo Estranho da Parede Torácica
407030069|Coledocotomia c/ ou s/ Colecistectomia
408060174|Ostectomia de Ossos Longos Exceto da Mão e do Pé
409020079|Meatotomia Simples
409030031|Prostatovesiculectomia Radical
201010275|Biopsia de Medula Óssea
407010297|Tratamento Cirúrgico de Refluxo Gastroesofagico
407040137|Herniorrafia Inguinal Videolaparoscopica
414010159|Redução Cruenta de Fratura Unilateral de Mandibula
416050034|Colectomia Total em Oncologia
401020061|Exerese de Cisto Branquial
405050100|Facectomia s/ Implante de Lente Intra-ocular
408010193|Tratamento Cirúrgico de Luxacão / Fratura-luxacão Escapulo-umeral Aguda
408040076|Artroplastia de Revisão ou Reconstrução do Quadril
405010036|Dacriocistorrinostomia
406020221|Linfadenectomia Radical Axilar Unilateral
407040110|Hernioplastia Recidivante
407040153|Herniorrafia Umbilical Videolaparoscopica
303040181|Tratamento de Doença de Parkinson
409060259|Salpingoplastia
505020106|Transplante de Rim (Órgão de Doador Vivo)
408030119|Artrodese Cervical Anterior Um Nível
404010059|Drenagem de Abscesso Faringeo
408050250|Redução Incruenta de Fratura ou Lesao Fisaria do Joelho
403050030|Bloqueios Prolongados de Sistema Nervoso Periferico / Central com Bomba de Infusao
409040010|Drenagem de Abscesso da Bolsa Escrotal
411020030|Histerectomia Puerperal
416050018|Amputação Abdomino-perineal de Reto em Oncologia
406010862|Reposicionamento de Eletrodos de Marcapasso
401020118|Homoenxertia (ato Cirúrgico Pre e Pós-operatorio)
408050209|Redução Incruenta de Fratura / Lesao Fisaria dos Metatarsianos
407010173|Gastroplastia c/ Derivação Intestinal
404010148|Implante Coclear
404020496|Osteossíntese de Fratura Unilateral do Côndilo Mandibular
409010391|Retirada Percutanea de Calculo Ureteral c/ Cateter
303040238|Tratamento de Fratura da Coluna Vertebral c/ Lesao da Medula Espinhal
403030170|Tratamento Conservador de Tumor do Sistema Nervoso Central
412010119|Traqueorrafia e/ou Fechamento de Fistula Traqueo-cutanea
209040050|Videotoracoscopia
406010404|Correção de Persistencia do Canal Artérial
408060034|Alongamento e/ou Transporte Ósseo de Ossos Longos (exceto da Mão e do Pé)
408060050|Artrodese de Pequenas Articulações
408060093|Descompressão com Esvaziamento Medular por Brocagem / Via Corticotomia
407020420|Tratamento Cirúrgico de Anomalias Congenitas do Anus e Reto
408050241|Redução Incruenta de Fratura dos Ossos do Tarso
416040101|Hepatectomia Parcial em Oncologia
406020370|Ponte-tromboendarterectomia de Carotida
407010238|Piloroplastia
407030131|Hepatectomia Parcial
412010038|Colocação de Prótese Laringo-traqueal, Traqueal, Traqueo-bronquica, Bronquica por Via Endoscopica (i
303060158|Tratamento de Endocardite Infecciosa em Prótese Valvar
303110074|Tratamento de Malformacoes Congenitas dos Órgãos Genitais
303130075|Tratamento de Paciente Sob Cuidados Prolongados por Enfermidades Osteomusculares e do Tecido Conjunt
408040254|Tratamento Cirúrgico de Associação Fratura / Luxação / Fratura-luxação / Disjunção do Anel Pélvico
407010149|Gastrectomia Total
412010097|Traqueoplastia por Acesso Torácico
414010230|Septoplastia Reparadora não Estética
503020028|Nefroureterectomia Unilateral p/ Transplante
303020075|Tratamento de Hemofilias
403010039|Crâniotomia Descompressiva da Fossa Posterior
406050031|Estudo Eletrofisiológico Terapeutico I (ablacão de Taquicardia Atrial Direita)
413040119|Reconstrução de Lobulo da Orelha
406020540|Tratamento Cirúrgico de Lesões Vasculares Traumáticas do Abdomen
407020411|Retossigmoidectomia Abdomino-perineal
408020105|Fasciotomia de Membros Superiores
409070211|Reconstrução da Vagina
403070155|Embolização de Aneurisma Cerebral Menor Que 1,5 Cm com Colo Estreito
407020144|Drenagem de Abscesso Isquiorretal
407020250|Fechamento de Fistula de Colon
413040020|Correção de Retração Cicatricial Vários Estágios
416010016|Amputação de Pênis em Oncologia
407040226|Reparacão de Outras Hérnias
412010046|Colocação de Prótese Laringo Traqueal/ Traqueo-bronquica (inclui Prótese)
409010316|Pielolitotomia
406010633|Implante de Marcapasso Cardiaco Multi-sitio Transvenoso
408050870|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação/ Perda Óssea da Metáfise Tibial
416080065|Extirpacão e Supressao Multipla de Lesao da Pele e Tecido Célular Subcutaneo em Oncologia
416020216|Linfadenectomia Axilar Unilateral em Oncologia
305020030|Tratamento de Hipertensao Nefrogena e Renovascular
406040095|Angioplastia Intraluminal de Vasos do Pescoco ou Troncos Supra-aorticos (c/ Stent não Recoberto)
408020482|Tratamento Cirúrgico de Lesão Aguda Capsulo-ligamentar do Membro Superior: Cotovelo / Punho
409010146|Extracão Endoscopica de Calculo em Pelve Renal
409060240|Salpingectomia Videolaparoscopica
406010544|Fechamento de ComÚnicacão Interventricular
407010220|Gastrostomia Videolaparoscopica
407030042|Colecistostomia
408060344|Retirada de Espaçadores / Outros Materiais
408060573|Tratamento Cirúrgico de Dedo em Martelo / em Garra (mão e Pé)
409010081|Cistorrafia
303140054|Tratamento das Doenças Pulmonares Devido a Agentes Externos
406011109|Troca de Gerador de Cardio-desfibrilador de Câmara Única / Dupla
408050667|Tratamento Cirúrgico de Lesão Aguda Capsulo-ligamentar Membro Inferior (joelho / Tornozelo)
408060107|Diafisectomia de Ossos Longos
408010215|Tratamento Cirúrgico de Luxacão Recidivante / Habitual de Articulacão Escapulo-umeral
408060387|Retirada de Prótese de Substituição de Grandes Articulações (ombro / Cotovelo / Quadril / Joelho)
409010502|Tratamento Cirúrgico de Refluxo Vesico-ureteral
405010133|Reconstituição Total de Palpebra
406030138|Valvuloplastia Pulmonar Percutanea
303090197|Tratamento Conservador de Fratura dos Aneis Pélvicos
406030090|Fechamento Percutaneo do Canal Artérial / Fistulas Arteriovenosas c/ Liberacão de Coils
408040203|Redução Incruenta Disjunção / Luxação / Fratura / Fratura-luxação ao Nível do Anel Pélvico
404010334|Sinusotomia Esfenoidal
407010068|Esôfago-colonplastia
404010121|Exerese de Tumor de Vias Aereas Superiores, Face e Pescoco
404020542|Redução Cirúrgica de Fratura dos Ossos Próprios do Nariz
404020771|Ressecção de Lesão da Boca
406010765|Pericardiectomia Parcial
408060433|Tenodese
408010177|Tratamento Cirúrgico de Fratura do Corpo de Escápula
414010094|Redução Cruenta de Fratura Bilateral da Mandibula
308010027|Tratamento de Efeitos de Asfixia / Outros Riscos a Respiracao
407030050|Coledocoplastia
406010137|Correção de Aneurisma / Dissecção da Aorta Toraco-abdominal
408050594|Tratamento Cirúrgico de Fratura Lesão Fisária ao Nível do Joelho
414010108|Redução Cruenta de Fratura Cominutiva da Mandibula
201010135|Biopsia de Corpo Vertebral Lamina e Pedículo Vertebral (por Dispositivo Guiado)
403050138|Simpatectomia Torácica a Céu Aberto
406040320|Tratamento Endovascular de Fistulas Arteriovenosas
409070033|Colpocleise (cirurgia de Le Fort)
406030120|Valvuloplastia Mitral Percutanea
407020292|Herniorrafia c/ Ressecção Intestinal (hérnia Estrangulada)
407020381|Remocão Cirúrgica de Fecaloma
407020470|Tratamento Cirúrgico de Prolapso Anal
408010045|Artroplastia Escapulo-umeral Parcial
409010499|Tratamento Cirúrgico de Incontinencia Urinaria Via Abdominal
408020032|Artrodese de Médias / Grandes Articulações de Membro Superior
408060158|Manipulação Articular
401020010|Enxerto Composto
403010063|Crâniotomia para Retirada de Corpo Estranho Intracraniano
403070058|Embolização de Aneurisma Cerebral Maior Que 1,5 Cm com Colo Largo
406040206|Embolização de Malformacão Vascular Arterio-venosa (inclui Estudo Angiografico)
408050705|Tratamento Cirúrgico de Luxação / Fratura-luxação Subtalar e Intra-tarsica
408060409|Retirada de Tração Trans-esquelética
402020022|Suprarrenalectomia Unilateral
403070040|Embolização de Aneurisma Cerebral Maior Que 1,5 Cm com Colo Estreito
408050268|Redução Incruenta de Luxacão / Fratura-luxacão do Joelho
401020126|Tratamento Cirúrgico de Escalpo Parcial
403030013|Crâniotomia para Biopsia Encefalica
409070300|Vulvectomia Simples
403040078|Microcirurgia Vascular Intracraniana (com Técnica Complementar)
407020152|Drenagem de Hematoma / Abscesso Retro-retal
413040127|Reconstrução de Polo Superior da Orelha
303040041|Tratamento Clinico de Abcesso Cerebral
304090034|Iodoterapia de Carcinoma Diferenciado da Tireóide (200 Mci)
411020056|Tratamento de Outros Transtornos Maternos Relacionados Predominantemente a Gravidez
416030106|Ressecção de Lesao Maligna em Oncologia
416040144|Ressecção de Tumor Retroperitonial c/ Ressecção de Órgãos Contiguos em Oncologia
403010365|Trepanacão Craniana para Propedeutica ou Terapeutica NeuroCirúrgica
403030080|Microcirurgia de Tumor Intradural e Extramedular
405040164|Reconstituição de Parede da Orbita
405050135|Implante de Prótese Anti-glaucomatosa
409010138|Drenagem de Abscesso Renal / Peri-renal
409070076|Colpoperineorrafia não Obstetrica
416060048|Histerectomia c/ Anexectomia (uni / Bilateral) em Oncologia
201010160|Biopsia de Endométrio por Aspiração Manual Intrauterina
404020720|Osteossíntese de Fratura Bilateral do Côndilo Mandibular
406011036|Troca de Eletrodos de Marcapasso de Câmara Dupla
407030158|Hepatorrafia Complexa c/ Lesao de Estruturas Vasculares Biliares
408060182|Osteotomia de Ossos da Mão e/ou do Pé
416040195|Quimioembolização de Carcinoma Hepático
501030069|Coleta e Acondicionamento de Medula Óssea no Brasil para Transplante Autogenico ou de Doador Aparent
403010322|Tratamento Cirúrgico de Osteomielite do Crânio
406010080|Anastomose Sistêmico-pulmonar
408060565|Tratamento Cirúrgico de Artrite Infecciosa das Pequenas Articulações
405050399|Tratamento Cirúrgico de Deiscência de Sutura de Córnea
406040028|Angioplastia Intraluminal de Aorta, Veia Cava / Vasos Iliacos (c/ Stent)
407020268|Fechamento de Fistula de Reto
304090026|Iodoterapia de Carcinoma Diferenciado da Tireóide (100 Mci)
404020518|Osteossíntese de Fratura Complexa da Maxila
408020300|Tenosinovectomia em Membro Superior
414010183|Redução Incruenta de Fratura do Maxilar Superior - Le Fort I
404010130|Extirpacão de Tumor do Cavum e Faringe
405030134|Vitrectomia Anterior
406010196|Correção de ComÚnicacão Inter-ventricular
412020050|Ressecção de Tumor do Mediastino
413040135|Reconstrução do Helix da Orelha
303010150|Tratamento de Malária
303040173|Tratamento de Distrofias Musculares
407010076|Esôfagogastrectomia
409010537|Ureterocistoneostomia
416010210|Nefrectomia Parcial em Oncologia
407040056|Hernioplastia Diafragmatica (via Torácica)
409070220|Tratamento Cirúrgico de Coaptacão de Ninfas
403010292|Tratamento Cirúrgico de Hematoma Intracerebral (com Técnica Complementar)
303170018|Diagnostico e/ou Atendimento de Urgência em Psiquiatria
403030102|Microcirurgia de Tumor Medular
408020610|Tratamento Cirúrgico de Rotura / Desinserção / Arrancamento Capsulo-teno-ligamentar na Mão
408030283|Artrodese Toraco-lombo-sacra Posterior Cinco Níveis
408030291|Artrodese Toraco-lombo-sacra Posterior, Dois Níveis,
408060131|Exploração Articular c/ ou s/ Sinovectomia de Pequenas Articulações
402010051|Tireoidectomia Total c/ Esvaziamento Ganglionar
406020590|Trombectomia do Sistema Venoso
408030275|Artrodese Toraco-lombo-sacra Posterior Três Niveis
408060166|Ostectomia de Ossos da Mão e/ou do Pé
404030092|Palatoplastia Parcial / Total
408040173|Redução Incruenta c/ Manipulação de Luxação Espontanea / Progressiva do Quadril com Aplicação de Dis
408050888|Tratamento Cirúrgico de Rotura de Menisco com Sutura Meniscal Uni / Bicompatimental
404010466|Parotidectomia Parcial ou Subtotal
408030470|Drenagem Cirúrgica do Iliopsoas
412050021|Drenagem Tubular Aberta de Cavidade Pulmonar
404010237|Microcirurgia Otologica
406010668|Implante de Marcapasso de Câmara Única Epimiocardico
408010223|Tratamento Cirúrgico de Retardo de Consolidacão da Pseudartrose de Clavicula / Escápula
408050802|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea da Região Trocanteriana
409060151|Histerectomia Videolaparoscopica
409070254|Tratamento Cirúrgico de Fistula Vesico-vaginal
416030092|Parotidectomia Total em Oncologia
406020043|Aneurismectomia de Aorta Abdominal Infra-renal
416030068|Glossectomia Parcial em Oncologia
403010160|Retirada de Derivação Ventricular para Peritoneo / Atrio / Pleura / Raque
406040338|Tratamento Endovascular do Pseudoaneurisma
412020068|Timectomia
416030122|Tireoidectomia Total c/ Esvaziamento Cervical em Oncologia
303130032|Atendimento a Paciente Sob Cuidados Prolongados por Enfermidades Pneumologicas
303060093|Tratamento de Complicacoes de Dispositivos Proteticos Implantes e Enxertos Cardiacos e Valvulares
403030129|Microcirurgia para Tumor da Base do Crânio
408040289|Tratamento Cirúrgico de Fratura / Luxação Coxofemoral c/ Fratura da Epífise Femoral
416020232|Linfadenectomia Inguinal Unilateral em Oncologia
403010195|Tratamento Cirúrgico de Abscesso Intracraniano
403040124|Microcirurgia para Aneurisma da Circulação Cerebral Posterior Menor Que 1,5 Cm
405050356|Tratamento Cirúrgico de Glaucoma Congenito
407010092|Esôfagorrafia Cervical
407030182|Pancreatectomia Parcial
408030305|Artrodese Toraco-lombo-sacra Posterior, Quatro Níveis,
408050837|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea Metáfise Distal do Fêmu
409070017|Alargamento da Entrada Vaginal
413040143|Reconstrução Total de Orelha (multiplos Estagios)
403070163|Embolização de Aneurisma Cerebral Menor do Que 1,5 Cm com Colo Largo
404020585|Redução de Fratura da Maxila - Le Fort I sem Osteossíntese.
408050810|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea do Colo do Fêmur
409060020|Colpoperineoplastia Anterior e Posterior c/ Amputação de Colo
303110031|Tratamento de Espinha Bifida
308030036|Tratamento de Queimaduras Corrosoes e Geladuras
403010225|Tratamento Cirúrgico de Disrafismo Aberto
403020034|Microcirurgia de Plexo Braquial com Exploração e Neurolise
404030050|Osteotomia da Mandíbula em Paciente com Anomalia Crânio e Bucomaxilofacial
406020353|Ponte-tromboendarterectomia Aorto-femural
408050322|Reparo de Bainha Tendinosa ao Nivel do Tornozelo
408060085|Bursectomia
409070092|Colporrafia não Obstetrica
414010256|Tratamento Cirúrgico de Fístula Oro-sinusal / Oro-nasal
403060052|Microcirurgia para Lobectomia Temporal / Amigdalo-hipocampectomia Seletiva
404020658|Tratamento Cirúrgico de Osteoma, Odontoma /outras Lesões Especificadas
405040156|Reconstituição de Cavidade Orbitária
406010714|Instalacão de Assistencia Circulatoria
406010919|Retirada de Sistema de Estimulação Cardíaca Artificial
408050764|Tratamento Cirúrgico de Pé Torto Congênito
409040070|Exerese de Cisto de Epididimo
409050113|Tratamento Cirúrgico de Priaprismo
416040276|Ressecção Alargada de Tumor de Intestino em Oncologia
404020224|Reconstrução Total de Cavidade Orbitária
410010138|Retirada de Prótese Mamária Unilateral em Casos de Complicação da Prótese Mamária Implantada
405040067|Enucleação de Globo Ocular
407030247|Tratamento Cirúrgico de Cistos Pancreáticos
416090109|Ressecção de Tumor Osseo com Substituicão (endoprotese) ou com Reconstrução e Fixação em Oncologia
404020216|Reconstrução de Mandibula
404020232|Reconstrução Total ou Parcial de Lábio
409020125|Uretroplastia (Ressecção de Corda)
409070289|Tratamento Cirúrgico de Vagina Septada / Atresica
413040216|Tratamento Cirúrgico de Retração Cicatricial em Um Estágio
415020069|Procedimentos Sequenciais em Ortopedia
416030262|Laringectomia Total em Oncologia
408020555|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação / Perda Óssea da Mão
409070130|Episioperineorrafia não Obstetrica
412050013|Bulectomia Uni ou Bilateral
416040012|Anastomose Bileo-digestiva em Oncologia
416040250|Ressecção de Tumor Retroperitonial em Oncologia
505010054|Transplante Alogênico de Células-tronco Hematopoeticas de Sangue Periferico - Aparentado
406010641|Implante de Marcapasso de Câmara Dupla Epimiocardico
412020033|Mediastinotomia p/ Drenagem
413040054|Dermolipectomia Abdominal Pós-cirurgia Bariatrica
416040110|Pancreatectomia Parcial em Oncologia
416040209|Biopsias Múltiplas Intra-abdominais em Oncologia
505010070|Transplante Autogenico de Células-tronco Hematopoeticas de Medula Óssea -
406010188|Correção de Coarctação da Aorta
406010811|Plástica Valvar c/ Revascularização Miocardica
409010510|Tratamento Cirúrgico de Ureterocele
303170069|Tratamento de Transtornos Mentais e Comportamentais Devidos ao Uso de Substancias Psicoativas
406020248|Linfadenectomia Radical Cervical Unilateral
406020388|Ponte-tromboendarterectomia Iliaco-femural
406040290|Tratamento de Epistaxe por Embolização (inclui Estudo Angiografico e/ou Endoscopico)
408030380|Discectomia Cervical / Lombar / Lombo-sacra por Via Posterior (1 Nível c/ Microscópio)
408050845|Tratamento Cirúrgico de Pseudartrose / Retardo de Consolidação ao Nível do Joelho
416010024|Cistectomia Total e Derivação em 1 So Tempo em Oncologia
416040152|Ressecção Multipla de Segmentos do Tubo Digestivo (Esôfago, Estomago e Intestino Delgado) em Oncolog
201010330|Biopsia de Osso / Cartilagem de Membro Superior (por Agulha / Céu Aberto)
403030161|Ressecção de Tumor Raquimedular Extradural
407030204|Pancreato-duodenectomia
408010169|Tratamento Cirúrgico de Fratura do Colo e Cavidade Glenoide de Escápula
408030402|Discectomia Cervical / Lombar / Lombo-sacra por Via Posterior (dois Níveis)
415020077|Procedimentos Sequenciais em Neurocirurgia
403020069|Microneurorrafia
406010790|Plástica de Loja de Gerador de Sistema de Estimulação Cardíaca Artificial
406030057|Angioplastia com Implante de Duplo Stent em Aorta/Artéria Pulmonar e Ramos
408020180|Çãeducão Incruenta de Fratura / Luxação de Monteggia ou de Galeazzi
408040300|Tratamento Cirúrgico de Fratura do Sacro
408060581|Tratamento Cirúrgico de Deformidade Articular por Retração Teno-capsulo-ligamentar
409040150|Orquiectomia Uni ou Bilateral c/ Esvaziamento Ganglionar
303040050|Tratamento Clinico de Coreia Aguda
403010241|Tratamento Cirúrgico de Fistula Liquorica Craniana
403080010|Implante de Eletrodo para Estimulação Cerebral
408020148|Reconstrução de Polia Tendinosa dos Dedos da Mão
414010078|Redução Cruenta de Afundamento do Malar c/ Fixacao
416080103|Ressecção Ampliada de Tumores de Partes Moles em Oncologia
404020704|Osteossíntese da Fratura do Osso Zigomático
405010150|Sondagem de Canal Lacrimal Sob Anestesia Geral
408030232|Artrodese Toraco-lombo-sacra Anterior Um Nível
408060620|Tratamento Cirúrgico de Infecção Pós-artroplastia (grandes Articulações)
409060208|Miomectomia Videolaparoscopica
416050042|Colostomia em Oncologia
408030704|Vertebroplastia por Dispositivo Guiado em Um Nível
408050179|Reconstrução Ligamentar Intra-articular do Joelho (cruzado Posterior c/ ou s/ Anterior)
403040108|Microcirurgia para Aneurisma da Circulação Cerebral Posterior (maior Que 1,5 Cm)
405050151|Implante Secundario de Lente Intra-ocular - Lio
408020580|Tratamento Cirúrgico de Pseudartrose ao Nível do Cotovelo
408020644|Tratamento Cirúrgico p/ Centralização do Punho
409010588|Ureterostomia Cutanea
416010032|Cistectomia Total com Derivação Simples em Oncologia
416020151|Linfadenectomia Radical Cervical Unilateral em Oncologia
416060080|Traquelectomia Radical em Oncologia
303130024|Atendimento a Paciente Sob Cuidados Prolongados por Enfermidades Cardiovasculares
404020780|Reconstrução Total de Mandíbula/maxila
406010099|Bandagem da Artéria Pulmonar
406010846|Reconstrução da Raiz da Aorta c/ Tubo Valvado
408030038|Artrodese Cervical / Cervico-torácica Posterior Dois Níveis
408050659|Tratamento Cirúrgico de Halux Valgus c/ Osteotomia do Primeiro Osso Metatarsiano
409010057|Cistoenteroplastia
409020168|Uretrostomia Perineal / Cutanea / Externa
416050107|Exenteracão Pelvica Total em Oncologia
505010119|Transplante de Cornea (em Reoperacoes)
403020131|Tratamento MicroCirúrgico de Tumor de Nervo Periferico / Neuroma
404020356|Tratamento Cirúrgico de Fístula e Cistos Oro-maxilares
404020429|Tratamento Cirúrgico do Soalho da Órbita
406010510|Drenagem c/ Biopsia de Pericardio
406011427|Correcao de Persistencia do Canal Arterial (criança e Adolescente)                                                                                                                                                                                        
406020116|Drenagem de Ganglio Linfático
407010033|Esofagectomia Distal c/ Toracotomia
407020365|Redução Cirúrgica de Volvo por Laparotomia
407020462|Tratamento Cirúrgico de Ma Rotacão Intestinal
408020296|Revisão Cirúgica de Coto de Amputação do Membro Superior (exceto Mão)
408040122|Epifisiodese do Trocanter Maior do Fêmur
408060115|Encurtamento de Ossos Longos Exceto da Mão e do Pé
409010022|Cistectomia Parcial
409050016|Amputação de Pênis
416030190|Pelviglossomandibulectomia em Oncologia
